month_end,ment_health_no_good_18_24,genhlth_no_good_18_24,ment_health_no_good_25on,genhlth_no_good_25on,divorced_widowed_separated,avg_close_apple_stock,avg_close_atandt_stock,avg_close_verizon_stock,x0_24_suicides,x25on_suicides,population_num_million,unemp_per,personal_save_rate,x0_24_suicides_per_thous,x25on_suicides_per_thous
2012-02-29,0.4615067929188967,0.011527377521613832,0.30994861547245217,0.06032924160243601,0.29327276371167077,18.42080375,30.1055003,38.23999875,373,2709,313.11,0.083,0.08,1191.274631918495,8651.911468812878
2012-03-31,0.4747313967369678,0.011539992041384799,0.3067091122334187,0.060582124563167215,0.2904316289065998,20.770893,31.35318177272727,39.079999,393,2996,313.28,0.08199999999999999,0.085,1254.4688457609807,9563.32992849847
2012-04-30,0.47013920071845533,0.011680143755615454,0.3053626749278923,0.0595571936009401,0.2924194031340453,21.2867142,31.1965,38.8279992,435,2983,313.45,0.08199999999999999,0.087,1387.7811453182328,9516.669325251236
2012-05-31,0.46068548387096775,0.011088709677419355,0.3064999423763974,0.06269447965886828,0.29963265085624763,19.82473175,33.38500009090909,41.29249975,425,3275,313.63,0.08199999999999999,0.08800000000000001,1355.0999585498837,10442.240857060868
2012-06-30,0.4374693477194703,0.006866110838646395,0.304925959504382,0.06406769416742218,0.2928307922503418,20.71919625,34.962381,43.5949995,393,3072,313.83,0.08199999999999999,0.091,1252.270337443839,9788.739126278559
2012-07-31,0.42296918767507,0.013071895424836602,0.3026249435995435,0.06064868882046926,0.29929586225771937,21.5429286,35.819047285714284,44.696,387,3244,314.05,0.08199999999999999,0.08199999999999999,1232.287852252826,10329.565355835059
2012-08-31,0.4336810730253353,0.008445106805762544,0.308560331706293,0.06048916181178817,0.2996465732433702,23.19883925,37.10086952173913,43.692499,425,3112,314.28,0.081,0.079,1352.2973144966272,9901.998218149422
2012-09-30,0.42980096826250674,0.008068854222700376,0.30505114354671875,0.06071141248132399,0.29684711481261156,24.45455425,37.672105263157896,44.86499975,424,2960,314.5,0.078,0.08199999999999999,1348.1717011128776,9411.764705882353
2012-10-31,0.45902415916627193,0.010895310279488394,0.30664814863342155,0.06131914782107387,0.29873610701288483,21.9495716,36.1857140952381,45.215999599999996,401,2922,314.7,0.078,0.08800000000000001,1274.2294248490628,9285.033365109628
2012-11-30,0.4524291497975709,0.006578947368421052,0.3054248546913922,0.062441184611126486,0.29868643516712184,19.9242855,33.960476047619046,42.979999500000005,384,2748,314.87,0.077,0.09699999999999999,1219.5509257788929,8727.411312605202
2012-12-31,0.4715353651523864,0.010350776308223116,0.29833155207220047,0.06222538890868068,0.2998098753005648,18.5639998,33.92949995,43.878,377,2787,315.04,0.079,0.12,1196.67343829355,8846.495683087862
2013-01-31,0.41492368569813454,0.014132278123233465,0.28250470635434993,0.05832973273254737,0.2956402073024332,17.08750025,34.22809504761905,43.26749975,405,3112,315.16,0.08,0.063,1285.0615560350298,9874.34953674324
2013-02-28,0.4364508393285372,0.011590727418065548,0.2843527984751343,0.057182464044359727,0.2956898964455639,16.218035999999998,35.4552627368421,45.21750075,361,2648,315.3,0.077,0.057999999999999996,1144.9413257215351,8398.350777037742
2013-03-31,0.4402539208364451,0.008961911874533234,0.30038541641730304,0.0586770726101841,0.29199873924985364,15.89241075,36.44549975,48.53750025,456,3109,315.46,0.075,0.059000000000000004,1445.508146833196,9855.449185316682
