Date,Open,High,Low,Close,Adj Close,Volume
2000-03-20,53.060043,54.352818,51.486229,53.509705,20.776520,20732713
2000-03-27,53.509705,56.825958,53.172459,54.971104,21.343954,20710919
2000-04-03,55.533180,59.355301,54.914894,58.118732,22.566093,22997971
2000-04-10,57.219410,58.680809,54.352818,54.971104,21.474802,19016199
2000-04-17,54.914894,55.645596,53.228664,54.184196,21.167387,12017265
2000-04-24,54.409027,56.601128,52.610382,53.959366,21.079557,18172119
2000-05-01,53.284874,53.622120,48.113766,48.507221,18.949633,28066897
2000-05-08,48.619637,49.575169,47.326859,47.664104,18.620279,22836739
2000-05-15,48.001350,50.249660,45.472008,47.326859,18.488516,18324124
2000-05-22,47.383068,47.551689,45.078552,46.483746,18.159161,15840253
2000-05-29,46.708576,49.125507,46.652367,48.226185,18.839849,11868931
2000-06-05,48.226185,49.181713,47.495483,48.507221,18.949633,16264795
2000-06-12,48.563431,52.722797,48.338596,49.518959,19.344883,21671419
2000-06-19,49.575169,52.554173,49.406544,51.598644,20.157316,20614512
2000-06-26,51.261398,51.598644,44.516476,45.696838,17.851748,31633248
2000-07-03,45.528214,51.148983,45.528214,49.799999,19.454670,18893662
2000-07-10,49.462753,50.024830,44.066814,44.516476,17.538540,30579010
2000-07-17,44.741306,44.909931,38.895710,43.167492,17.007072,56979098
2000-07-24,43.617153,44.291645,41.930923,42.268169,16.652752,32151526
2000-07-31,42.268169,44.010609,41.087807,42.211964,16.630617,27937245
2000-08-07,42.436794,43.448532,35.129795,37.321896,14.704040,87026376
2000-08-14,36.872234,38.895710,35.972912,38.165009,15.036203,53271420
2000-08-21,39.120541,39.401577,36.422573,38.783295,15.279797,42630523
2000-08-28,39.570202,40.413315,38.333633,39.626408,15.611954,31497368
2000-09-04,39.570202,39.851238,37.996387,39.851238,15.700541,17118993
2000-09-11,39.907448,40.750561,38.727085,40.019863,15.766972,22209045
2000-09-18,38.839500,39.738823,36.872234,39.064331,15.390519,24677459
2000-09-25,39.176746,44.909931,38.277424,43.560947,17.162083,29020282
2000-10-02,42.717831,46.933407,42.380585,45.303383,17.848566,31843183
2000-10-09,44.628891,45.303383,40.862980,41.818508,16.604914,25518535
2000-10-16,41.818508,43.954399,40.638145,43.560947,17.296785,23941905
2000-10-23,43.167492,47.832729,42.886456,47.720314,18.948357,24706037
2000-10-30,47.720314,52.048306,47.214443,51.261398,20.354420,45643792
2000-11-06,51.148983,51.261398,48.788261,50.755527,20.153545,24487314
2000-11-13,50.249660,51.711060,45.865459,46.652367,18.524298,26001122
